Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Loyalty,Age,Children,Spent,TotalAcceptedCmp,MaritalStatus,Family_Size
Postgraduate,19510.0,63,2,1,0,3,7,0,0,235,29,2,30,0,Married,4
Graduate,30992.0,83,1,1,0,3,7,0,0,350,38,1,43,0,Single,2
Graduate,101970.0,69,0,6,8,13,2,0,1,405,31,0,1135,3,Single,1
Undergraduate,71488.0,87,2,3,4,7,1,0,0,409,49,0,559,0,Married,2
Graduate,79607.0,37,1,3,6,6,1,0,1,397,30,0,1923,0,Single,1
Postgraduate,54348.0,51,2,2,0,4,6,0,0,-30,61,2,90,0,Married,4
Postgraduate,52376.79960610536,23,3,6,1,7,6,0,0,330,53,1,404,0,Married,3
Postgraduate,77376.0,72,4,6,3,10,4,0,0,-22,58,2,661,0,Married,4
Graduate,62998.0,10,5,5,4,5,5,0,0,262,62,1,463,0,Married,3
Postgraduate,61331.0,42,5,11,1,6,8,0,0,434,56,2,632,0,Single,3
Graduate,73448.0,10,1,7,2,9,4,0,0,129,45,0,725,0,Married,2
Graduate,52376.79960610536,96,1,6,5,7,4,0,0,226,51,1,725,0,Married,3
Postgraduate,41551.0,51,5,5,1,5,8,0,0,268,50,2,279,0,Married,4
Postgraduate,62981.0,21,1,4,5,13,3,0,0,448,47,0,1482,1,Married,2
Undergraduate,9548.0,31,2,1,0,3,8,0,0,659,38,1,29,0,Single,2
Postgraduate,33762.0,61,3,2,2,2,8,0,0,296,55,3,106,0,Married,5
Postgraduate,35860.0,37,2,1,1,2,5,0,1,4,41,2,49,1,Single,3
Postgraduate,36921.0,74,2,2,0,3,7,0,0,262,49,2,38,0,Single,3
Postgraduate,92859.0,46,1,5,4,12,2,0,0,572,22,0,2077,0,Single,1
Postgraduate,65104.0,4,2,3,5,7,7,0,1,223,38,1,1053,0,Married,3
Graduate,86111.0,73,1,5,7,10,2,0,0,363,52,0,1385,0,Married,2
Postgraduate,68352.0,47,3,8,5,9,6,0,0,258,40,1,871,0,Single,2
Graduate,41883.0,13,3,4,2,3,7,0,0,454,26,1,312,0,Married,3
Graduate,59809.0,36,3,3,3,6,8,0,0,583,38,2,877,0,Married,4
Graduate,23957.0,47,1,2,0,3,6,0,1,562,39,1,68,0,Married,3
Graduate,38547.0,49,1,1,0,2,8,1,0,256,33,1,22,0,Married,3
Postgraduate,49605.0,65,1,2,1,4,3,0,0,-57,48,0,127,0,Married,2
Postgraduate,59354.0,59,1,4,4,7,3,0,0,7,61,2,459,0,Married,4
Graduate,65747.0,96,4,8,1,6,6,0,0,18,45,1,460,1,Married,3
Undergraduate,46344.0,28,4,7,1,5,7,0,0,534,42,1,429,0,Married,3
Graduate,34176.0,12,4,3,0,4,6,0,0,36,26,1,89,0,Single,2
Postgraduate,61010.0,57,2,8,5,11,5,0,0,571,62,1,1021,0,Married,3
Graduate,69372.0,10,1,10,4,6,4,0,1,485,65,0,1381,2,Married,2
Graduate,49967.0,4,3,6,1,5,7,0,0,352,56,1,306,0,Single,2
Graduate,60199.0,49,1,0,0,3,4,0,0,241,36,3,18,0,Single,4
Graduate,55375.0,3,1,1,1,6,2,0,0,252,37,1,162,0,Married,3
Graduate,80317.0,64,1,3,4,10,1,0,0,249,59,0,1231,0,Single,1
Postgraduate,30523.0,0,1,1,0,2,7,0,0,363,56,3,13,0,Single,4
Postgraduate,70356.0,20,2,10,6,9,6,0,0,581,69,0,1706,0,Married,2
Graduate,23228.0,91,4,3,0,4,8,0,0,84,30,1,121,0,Married,3
Postgraduate,74165.0,9,1,5,4,10,2,0,0,415,39,0,1293,0,Single,1
Graduate,43482.0,83,3,2,0,4,6,0,0,145,48,3,88,0,Married,5
Graduate,62551.0,27,1,6,7,4,3,0,0,196,61,0,421,1,Single,1
Graduate,52332.0,63,1,3,2,6,4,0,0,242,55,0,259,1,Single,1
Graduate,66951.0,46,1,3,4,7,1,0,0,193,26,0,1117,0,Single,1
Graduate,26091.0,84,3,2,1,3,5,0,0,40,57,2,89,0,Married,4
Graduate,33456.0,58,2,1,0,3,7,0,0,11,49,2,36,0,Married,4
Graduate,28718.0,78,2,2,0,3,8,0,0,273,32,1,57,0,Married,3
Graduate,50447.0,4,1,3,1,3,6,0,0,65,44,2,148,0,Married,4
Postgraduate,53537.0,17,2,2,1,3,5,0,0,133,55,2,93,0,Married,4
Graduate,52074.0,77,1,2,2,2,4,0,0,9,47,1,119,1,Single,2
Postgraduate,80427.0,56,1,11,8,8,5,0,0,599,39,1,1835,0,Married,3
Postgraduate,38853.0,90,2,2,0,3,7,0,0,-53,44,2,45,0,Married,4
Graduate,38285.0,96,1,0,0,3,2,0,0,-91,55,3,10,0,Married,5
Postgraduate,51650.0,81,1,4,1,4,5,0,0,-32,38,1,191,0,Married,3
Undergraduate,16248.0,77,3,2,1,3,6,0,0,-27,26,1,57,0,Married,3
Postgraduate,66835.0,21,1,6,4,13,2,0,0,253,68,0,1033,0,Married,2
Postgraduate,30477.0,16,1,1,1,3,6,0,0,142,30,1,66,0,Married,3
Undergraduate,28249.0,80,1,2,0,3,6,0,0,-66,53,0,43,0,Married,2
Graduate,25271.0,45,1,1,1,2,9,0,0,526,31,1,50,0,Married,3
Postgraduate,32303.0,63,2,1,0,4,5,0,0,50,44,1,39,0,Single,2
Graduate,61286.0,34,2,7,1,8,5,0,0,297,48,1,608,0,Married,3
Postgraduate,45759.0,13,2,2,0,3,7,0,0,478,50,2,68,0,Married,4
Undergraduate,24882.0,52,1,1,1,2,6,0,0,606,36,1,80,1,Married,3
Postgraduate,66973.0,98,1,8,7,12,3,0,0,310,25,0,1282,0,Married,2
Graduate,38872.0,93,2,3,0,3,8,0,0,302,26,1,91,0,Married,3
Graduate,51148.0,38,4,5,1,6,6,0,0,458,41,2,315,0,Married,4
Graduate,31353.0,24,2,1,1,2,8,0,0,158,37,2,31,0,Married,4
Postgraduate,69661.0,80,1,7,3,12,3,0,0,-33,34,0,834,0,Married,2
Graduate,80067.0,82,1,4,6,6,2,0,0,201,60,0,1600,1,Married,2
Graduate,86718.0,20,1,5,6,5,2,0,0,508,60,0,1270,0,Married,2
Graduate,69142.0,50,3,8,1,7,5,0,0,-50,62,1,535,1,Single,2
Graduate,75922.0,60,1,4,4,9,1,0,0,142,46,0,1295,0,Single,1
Graduate,63693.0,63,3,11,6,9,6,0,0,195,36,1,1150,0,Single,2
Postgraduate,102160.0,54,0,7,9,10,4,0,1,550,37,0,1240,3,Married,2
Postgraduate,40637.0,72,2,1,0,3,7,0,0,275,49,2,38,0,Single,3
Postgraduate,18890.0,5,1,0,1,2,6,0,1,591,30,0,35,1,Single,1
Graduate,29604.0,88,1,1,0,3,9,0,0,115,26,1,53,1,Married,3
Graduate,44794.0,99,1,2,0,3,6,0,0,-78,48,1,65,0,Married,3
Graduate,64497.0,17,5,11,4,9,8,0,1,640,60,1,1804,1,Single,2
Graduate,46097.0,11,5,3,1,6,4,0,0,444,58,1,241,0,Married,3
Graduate,77972.0,18,1,4,6,9,1,0,0,85,60,0,1101,0,Married,2
Graduate,70951.0,66,1,3,4,9,1,0,0,355,29,0,1198,0,Married,2
Undergraduate,52195.0,2,1,1,0,2,8,0,0,46,36,3,17,0,Single,4
Postgraduate,44551.0,24,2,4,1,5,7,0,0,278,60,1,285,0,Single,2
Graduate,69508.0,48,2,11,4,11,6,0,0,544,34,1,1135,0,Married,3
Undergraduate,45204.0,93,1,1,1,4,3,0,0,-14,26,1,114,0,Married,3
Graduate,72460.0,56,1,3,5,7,1,0,0,171,45,0,1047,0,Married,2
Postgraduate,77622.0,3,2,6,3,11,3,0,0,73,44,2,714,0,Married,4
Postgraduate,30732.0,44,4,4,1,4,8,0,0,496,34,1,185,0,Married,3
Graduate,63887.0,38,5,9,6,12,6,0,0,621,52,1,1245,0,Single,2
Graduate,42011.0,46,4,3,1,4,8,0,0,414,36,1,189,0,Married,3
Graduate,51369.0,84,2,8,2,4,8,0,0,528,38,1,576,0,Married,3
Graduate,51537.0,27,3,2,2,11,8,0,0,540,62,1,1103,0,Single,2
Postgraduate,79930.0,72,1,3,5,8,2,0,0,618,42,0,1753,0,Married,2
Postgraduate,34320.0,66,1,1,0,2,8,0,0,67,28,1,17,0,Married,3
Undergraduate,81975.0,2,1,6,3,4,7,0,0,538,52,1,1588,1,Single,2
Graduate,38590.0,65,1,1,0,2,8,0,0,345,43,1,22,0,Married,3
Graduate,15033.0,37,1,1,0,3,3,0,0,37,63,0,19,0,Single,1
Postgraduate,62745.0,89,3,7,8,11,5,0,0,374,49,1,1117,0,Married,3
Undergraduate,22212.0,49,2,2,0,4,6,0,0,153,39,1,69,0,Married,3
Postgraduate,23661.0,46,1,1,0,3,7,0,0,161,32,1,23,0,Married,3
Postgraduate,79761.0,32,1,5,2,11,3,0,0,236,56,1,605,0,Single,2
Graduate,7500.0,54,4,3,1,3,7,0,0,131,41,1,57,0,Single,2
Graduate,73455.0,98,1,6,5,10,3,0,0,146,46,0,2088,1,Single,1
Graduate,64961.0,97,2,6,4,4,3,0,0,456,56,1,1009,0,Married,3
Graduate,22804.0,75,1,2,0,2,9,0,0,258,43,1,26,0,Single,2
Graduate,73687.0,8,1,3,9,9,2,0,1,205,24,0,1627,1,Married,2
Postgraduate,31686.0,31,2,1,0,3,6,0,0,-7,50,2,17,0,Married,4
Graduate,80134.0,40,2,5,3,6,6,0,1,365,42,1,1690,3,Married,3
Graduate,75027.0,74,2,9,4,6,5,0,0,462,61,1,1390,0,Married,3
Postgraduate,65176.0,57,4,9,6,6,6,0,0,551,45,1,1531,0,Married,3
Postgraduate,31160.0,59,2,2,0,3,8,0,0,227,39,1,64,0,Single,2
Graduate,29938.0,52,2,1,0,3,6,0,0,193,29,1,26,0,Single,2
Graduate,102692.0,5,1,6,9,13,2,0,1,445,40,0,1112,4,Single,1
Undergraduate,26490.0,92,2,3,1,5,6,0,0,553,56,0,210,0,Married,2
Graduate,75702.0,77,5,4,6,11,8,0,0,592,47,2,1148,0,Married,4
Postgraduate,30899.0,35,2,1,0,3,6,0,0,589,40,1,33,0,Single,2
Postgraduate,63342.0,48,3,8,3,5,6,0,0,573,53,1,1101,1,Married,3
Graduate,45989.0,97,4,3,2,7,3,0,0,518,50,1,322,0,Single,2
Graduate,18701.0,95,4,2,0,4,5,0,0,295,50,2,44,0,Single,3
Postgraduate,40737.0,24,1,1,0,2,8,0,0,179,57,3,17,0,Single,4
Graduate,15287.0,60,2,1,1,2,7,0,1,567,35,1,31,1,Single,2
Postgraduate,69674.0,46,3,10,2,10,5,0,0,357,46,2,845,0,Single,3
Postgraduate,44159.0,85,4,4,1,6,5,0,0,-73,44,1,275,0,Married,3
Postgraduate,37717.0,31,1,1,0,2,9,0,0,552,36,1,25,0,Married,3
Postgraduate,38179.0,30,4,3,1,3,7,0,0,442,48,2,90,0,Married,4
Graduate,80124.0,47,1,3,7,8,1,0,0,-44,51,0,1495,1,Married,2
Postgraduate,38097.0,70,4,3,2,2,7,0,1,552,44,2,184,1,Married,4
Graduate,72940.0,13,1,3,3,6,1,0,0,362,44,0,981,0,Married,2
Graduate,22070.0,11,2,2,2,2,6,0,0,257,44,1,67,0,Married,3
Graduate,69267.0,31,2,3,4,5,7,0,1,614,61,0,1635,0,Single,1
Postgraduate,31788.0,15,3,3,0,4,5,1,0,86,31,1,60,0,Single,2
Postgraduate,61905.0,2,2,4,2,4,5,0,0,143,39,1,231,0,Married,3
Graduate,29315.0,55,4,2,0,4,6,0,0,29,54,2,48,0,Married,4
Graduate,33378.0,38,3,2,0,4,7,0,0,470,51,2,99,0,Single,3
Postgraduate,66313.0,86,2,6,3,12,4,0,0,200,51,1,770,0,Married,3
Graduate,60714.0,56,2,7,4,10,5,0,1,472,58,0,957,0,Single,1
Postgraduate,77882.0,29,1,3,3,5,1,0,0,31,33,0,818,0,Married,2
Postgraduate,69867.0,30,1,3,5,8,1,0,1,423,28,0,925,1,Single,1
Postgraduate,63841.0,64,1,9,3,9,6,0,0,370,46,1,908,0,Single,2
Undergraduate,24480.0,46,3,3,0,4,7,0,0,457,33,1,102,0,Married,3
Postgraduate,65640.0,74,1,5,1,8,2,0,0,46,40,1,461,0,Married,3
Postgraduate,44319.0,18,2,2,0,3,5,0,0,55,39,2,37,0,Married,4
Graduate,30631.0,75,1,3,1,2,7,0,0,277,40,1,70,0,Married,3
Graduate,75278.0,17,1,6,3,13,3,0,0,499,62,0,930,0,Married,2
Postgraduate,35416.0,62,3,7,1,5,8,0,0,319,65,0,390,0,Single,1
Undergraduate,32414.0,11,1,1,0,3,7,0,0,349,30,0,52,1,Married,2
Graduate,38361.0,74,3,3,1,3,7,0,0,110,45,1,137,0,Married,3
Graduate,82497.0,32,1,2,7,9,4,0,0,574,34,0,1919,1,Married,2
Graduate,16626.0,76,3,3,0,3,9,0,0,89,43,2,68,0,Married,4
Graduate,29672.0,6,1,0,0,3,6,0,0,468,49,2,25,0,Married,4
Postgraduate,55951.0,62,3,3,6,11,8,0,0,613,62,1,1374,2,Married,3
Undergraduate,35388.0,20,1,1,0,3,7,0,0,459,26,1,32,0,Single,2
Postgraduate,42386.0,43,1,3,0,3,8,0,0,489,28,1,100,0,Married,3
Graduate,68627.0,45,1,2,3,6,1,0,0,488,32,0,825,0,Single,1
Postgraduate,57912.0,34,5,8,3,12,5,0,0,70,49,1,916,1,Single,2
Graduate,35246.0,53,4,3,1,3,5,0,0,21,56,2,62,0,Single,3
Undergraduate,58821.0,44,1,9,2,9,6,0,0,216,58,1,728,0,Married,3
Postgraduate,46377.0,89,1,2,1,3,4,0,0,31,36,1,90,0,Married,3
Graduate,39747.0,43,3,5,1,4,8,0,0,34,26,1,273,0,Single,2
Graduate,23976.0,68,3,3,1,3,7,0,0,116,30,1,66,0,Married,3
Postgraduate,80950.0,44,1,6,7,9,2,0,0,414,53,0,1213,1,Married,2
Graduate,27038.0,64,1,3,0,3,9,0,1,585,48,0,107,0,Single,1
Graduate,77457.0,85,1,2,5,10,1,0,0,31,67,0,1157,1,Single,1
Postgraduate,64100.0,93,1,8,3,6,7,0,0,199,50,1,546,1,Married,3
Postgraduate,42670.0,12,1,4,2,4,4,0,0,416,22,0,241,0,Married,2
Graduate,12571.0,86,4,3,1,3,6,0,0,76,38,1,53,0,Single,2
Graduate,22574.0,28,2,2,0,3,7,0,0,216,47,3,37,0,Married,5
Graduate,52376.79960610536,69,1,6,5,12,3,0,0,322,25,0,1611,2,Married,2
Postgraduate,70893.0,42,1,6,6,10,3,0,0,466,38,0,1508,0,Single,1
Postgraduate,28839.0,86,2,2,0,3,5,0,0,24,58,2,32,0,Married,4
Graduate,40321.0,59,2,3,0,3,7,0,0,276,42,2,102,0,Married,4
Graduate,66503.0,30,2,4,3,6,3,0,0,654,29,1,401,0,Single,2
Graduate,30833.0,33,2,1,0,3,5,0,0,315,63,2,28,0,Married,4
Graduate,64795.0,23,3,3,3,12,2,0,0,505,43,1,680,0,Married,3
Graduate,34421.0,81,1,1,0,2,7,0,0,282,40,1,30,0,Married,3
Postgraduate,47025.0,6,1,1,0,2,7,0,0,134,49,2,20,0,Single,3
Postgraduate,64325.0,41,5,10,3,5,7,0,0,466,53,1,1307,0,Single,2
Graduate,62187.0,49,1,4,8,5,3,0,0,310,57,0,1283,0,Married,2
Postgraduate,14849.0,39,3,2,0,4,8,0,0,323,38,1,65,0,Single,2
Graduate,27255.0,3,1,1,0,3,7,0,0,231,30,1,37,0,Married,3
Postgraduate,54432.0,37,1,1,0,3,4,0,0,379,64,3,38,0,Married,5
Postgraduate,29999.0,22,4,3,1,4,8,0,0,479,28,1,160,0,Single,2
Graduate,24072.0,79,1,1,0,2,8,0,0,360,31,1,23,0,Single,2
Postgraduate,33996.0,46,1,1,1,3,4,0,0,245,25,0,71,0,Single,1
Postgraduate,66334.0,82,2,9,3,5,5,0,1,370,58,1,1161,0,Married,3
Postgraduate,35178.0,10,1,1,1,2,7,0,1,525,43,1,59,1,Married,3
Graduate,22010.0,51,2,2,0,3,8,0,0,313,31,1,33,0,Married,3
Graduate,62204.0,38,1,4,5,12,3,0,0,617,54,2,946,0,Single,3
Graduate,75693.0,10,1,11,4,6,4,0,1,560,46,0,1442,3,Single,1
Graduate,30675.0,14,1,1,0,3,8,0,0,580,42,1,62,0,Married,3
Graduate,83003.0,18,1,7,6,8,3,0,1,465,49,0,1674,1,Married,2
Graduate,68655.0,95,1,4,5,11,3,0,0,593,26,0,1538,0,Single,1
Graduate,41411.0,11,1,2,1,4,6,0,0,193,28,0,139,0,Single,1
Postgraduate,55212.0,65,3,4,2,11,8,0,0,518,45,1,1182,2,Married,3
Postgraduate,59292.0,71,2,3,5,8,3,0,0,310,64,1,507,0,Married,3
Undergraduate,27190.0,13,1,1,0,2,8,0,1,305,41,1,18,1,Married,3
Graduate,82623.0,58,1,2,9,4,1,0,0,173,62,0,940,0,Single,1
Graduate,44300.0,65,2,1,0,3,6,0,0,306,49,2,42,0,Married,4
Graduate,84835.0,0,1,4,4,6,1,0,1,13,44,0,1190,0,Single,1
Graduate,30372.0,33,3,2,0,3,7,0,0,518,43,2,44,0,Single,3
Postgraduate,33181.0,90,1,1,0,2,6,0,0,87,38,1,16,1,Married,3
Graduate,71113.0,95,4,6,7,9,4,0,0,99,57,1,835,0,Married,3
Graduate,71952.0,93,2,8,4,8,4,0,0,442,28,1,1443,2,Married,3
Postgraduate,69759.0,38,3,4,6,5,3,0,1,206,48,0,1029,0,Single,1
Graduate,72099.0,18,1,3,4,10,1,0,0,592,40,0,1188,0,Married,2
Postgraduate,60000.0,57,5,11,3,5,6,0,0,497,38,1,1277,0,Single,2
Graduate,38643.0,45,2,2,0,3,7,1,0,167,36,2,49,0,Single,3
Graduate,50737.0,61,1,2,0,4,6,0,0,353,59,1,99,1,Married,3
Postgraduate,68462.0,6,1,3,3,8,1,0,0,558,45,0,1670,0,Married,2
Postgraduate,65073.0,65,1,5,3,5,2,1,0,248,71,0,900,0,Married,2
Postgraduate,46681.0,52,2,4,6,4,5,0,0,212,66,2,425,0,Married,4
Graduate,78618.0,87,1,4,7,10,2,0,0,552,57,0,2153,1,Married,2
Postgraduate,62187.0,38,3,6,2,10,4,0,0,61,45,1,636,0,Single,2
Graduate,28442.0,53,3,2,1,4,4,0,0,72,36,2,57,0,Married,4
Graduate,54803.0,65,2,6,2,9,4,0,0,612,45,1,693,0,Single,2
Graduate,31615.0,82,2,2,0,3,7,0,0,388,38,1,51,0,Single,2
Graduate,72025.0,27,1,4,3,8,3,0,0,562,52,0,1932,0,Married,2
